Participant,Stimulus,condition,semantic,RT
P01,ma-nma.03.rtf,ma-nma,1,146
P02,ma-nma.03.rtf,ma-nma,1,0
P03,ma-nma.03.rtf,ma-nma,1,127
P04,ma-nma.03.rtf,ma-nma,1,0
P05,ma-nma.03.rtf,ma-nma,1,83
P06,ma-nma.03.rtf,ma-nma,1,0
P07,ma-nma.03.rtf,ma-nma,1,195
P08,ma-nma.03.rtf,ma-nma,1,376
P09,ma-nma.03.rtf,ma-nma,1,234
P10,ma-nma.03.rtf,ma-nma,1,239
P11,ma-nma.03.rtf,ma-nma,1,0
P12,ma-nma.03.rtf,ma-nma,1,132
P13,ma-nma.03.rtf,ma-nma,1,112
P14,ma-nma.03.rtf,ma-nma,1,528
P15,ma-nma.03.rtf,ma-nma,1,195
P16,ma-nma.03.rtf,ma-nma,1,146
P17,ma-nma.03.rtf,ma-nma,1,0
P18,ma-nma.03.rtf,ma-nma,1,141
P19,ma-nma.03.rtf,ma-nma,1,82
P20,ma-nma.03.rtf,ma-nma,1,376
P21,ma-nma.03.rtf,ma-nma,1,141
P22,ma-nma.03.rtf,ma-nma,1,125
P23,ma-nma.03.rtf,ma-nma,1,251
P24,ma-nma.03.rtf,ma-nma,1,70
P25,ma-nma.03.rtf,ma-nma,1,432
P26,ma-nma.03.rtf,ma-nma,1,95
P27,ma-nma.03.rtf,ma-nma,1,0
P28,ma-nma.03.rtf,ma-nma,1,0
P29,ma-nma.03.rtf,ma-nma,1,0
P30,ma-nma.03.rtf,ma-nma,1,166
P31,ma-nma.03.rtf,ma-nma,1,185
P32,ma-nma.03.rtf,ma-nma,1,146
P33,ma-nma.03.rtf,ma-nma,1,171
P34,ma-nma.03.rtf,ma-nma,1,122
P35,ma-nma.03.rtf,ma-nma,1,112
P36,ma-nma.03.rtf,ma-nma,1,136
P37,ma-nma.03.rtf,ma-nma,1,0
