Participant,Stimulus,condition,parallel,semantic,RT
P33,ma-ma.12.rtf,ma-ma,2,1,0
P34,ma-ma.12.rtf,ma-ma,2,1,0
P35,ma-ma.12.rtf,ma-ma,2,1,92
P36,ma-ma.12.rtf,ma-ma,2,1,0
P37,ma-ma.12.rtf,ma-ma,2,1,0
P01,ma-nma.01.rtf,ma-nma,1,2,0
P02,ma-nma.01.rtf,ma-nma,1,2,0
P03,ma-nma.01.rtf,ma-nma,1,2,0
P04,ma-nma.01.rtf,ma-nma,1,2,156
P05,ma-nma.01.rtf,ma-nma,1,2,0
P06,ma-nma.01.rtf,ma-nma,1,2,298
P07,ma-nma.01.rtf,ma-nma,1,2,229
P08,ma-nma.01.rtf,ma-nma,1,2,107
P09,ma-nma.01.rtf,ma-nma,1,2,0
P10,ma-nma.01.rtf,ma-nma,1,2,0
P11,ma-nma.01.rtf,ma-nma,1,2,0
P12,ma-nma.01.rtf,ma-nma,1,2,180
P13,ma-nma.01.rtf,ma-nma,1,2,142
P14,ma-nma.01.rtf,ma-nma,1,2,767
P15,ma-nma.01.rtf,ma-nma,1,2,0
P16,ma-nma.01.rtf,ma-nma,1,2,0
P17,ma-nma.01.rtf,ma-nma,1,2,0
P18,ma-nma.01.rtf,ma-nma,1,2,0
P19,ma-nma.01.rtf,ma-nma,1,2,0
P20,ma-nma.01.rtf,ma-nma,1,2,0
P21,ma-nma.01.rtf,ma-nma,1,2,205
P22,ma-nma.01.rtf,ma-nma,1,2,0
P23,ma-nma.01.rtf,ma-nma,1,2,0
P24,ma-nma.01.rtf,ma-nma,1,2,0
P25,ma-nma.01.rtf,ma-nma,1,2,242
P26,ma-nma.01.rtf,ma-nma,1,2,0
P27,ma-nma.01.rtf,ma-nma,1,2,0
P28,ma-nma.01.rtf,ma-nma,1,2,0
P29,ma-nma.01.rtf,ma-nma,1,2,0
P30,ma-nma.01.rtf,ma-nma,1,2,73
P31,ma-nma.01.rtf,ma-nma,1,2,0
P32,ma-nma.01.rtf,ma-nma,1,2,0
P33,ma-nma.01.rtf,ma-nma,1,2,0
P34,ma-nma.01.rtf,ma-nma,1,2,0
P35,ma-nma.01.rtf,ma-nma,1,2,0
P36,ma-nma.01.rtf,ma-nma,1,2,0
P37,ma-nma.01.rtf,ma-nma,1,2,0
P01,ma-nma.02.rtf,ma-nma,1,2,906
P02,ma-nma.02.rtf,ma-nma,1,2,0
P03,ma-nma.02.rtf,ma-nma,1,2,0
P04,ma-nma.02.rtf,ma-nma,1,2,0
P05,ma-nma.02.rtf,ma-nma,1,2,0
P06,ma-nma.02.rtf,ma-nma,1,2,0
P07,ma-nma.02.rtf,ma-nma,1,2,0
P08,ma-nma.02.rtf,ma-nma,1,2,0
P09,ma-nma.02.rtf,ma-nma,1,2,0
P10,ma-nma.02.rtf,ma-nma,1,2,0
P11,ma-nma.02.rtf,ma-nma,1,2,0
P12,ma-nma.02.rtf,ma-nma,1,2,0
P13,ma-nma.02.rtf,ma-nma,1,2,0
P14,ma-nma.02.rtf,ma-nma,1,2,425
P15,ma-nma.02.rtf,ma-nma,1,2,777
P16,ma-nma.02.rtf,ma-nma,1,2,185
P17,ma-nma.02.rtf,ma-nma,1,2,0
P18,ma-nma.02.rtf,ma-nma,1,2,0
P19,ma-nma.02.rtf,ma-nma,1,2,0
