Participant,Stimulus,condition,semantic,RT
P32,ma-nma.03.rtf,ma-nma,1,366
P33,ma-nma.03.rtf,ma-nma,1,0
P34,ma-nma.03.rtf,ma-nma,1,0
P35,ma-nma.03.rtf,ma-nma,1,176
P36,ma-nma.03.rtf,ma-nma,1,0
P37,ma-nma.03.rtf,ma-nma,1,200
P01,ma-nma.04.rtf,ma-nma,1,886
P02,ma-nma.04.rtf,ma-nma,1,0
P03,ma-nma.04.rtf,ma-nma,1,0
P04,ma-nma.04.rtf,ma-nma,1,0
P05,ma-nma.04.rtf,ma-nma,1,244
P06,ma-nma.04.rtf,ma-nma,1,1052
P07,ma-nma.04.rtf,ma-nma,1,337
P08,ma-nma.04.rtf,ma-nma,1,504
P09,ma-nma.04.rtf,ma-nma,1,273
P10,ma-nma.04.rtf,ma-nma,1,112
P11,ma-nma.04.rtf,ma-nma,1,254
P12,ma-nma.04.rtf,ma-nma,1,464
