subjects,items,condition,parallel,semantic,RT
P33,ma-nma.01.rtf,ma-nma,1,2,948
P01,ma-nma.01.rtf,ma-nma,1,2,940
P22,ma-nma.01.rtf,ma-nma,1,2,931
P19,ma-nma.01.rtf,ma-nma,1,2,919
P13,ma-nma.01.rtf,ma-nma,1,2,857
P37,ma-nma.01.rtf,ma-nma,1,2,831
P16,ma-nma.01.rtf,ma-nma,1,2,811
P34,ma-nma.01.rtf,ma-nma,1,2,768
P21,ma-nma.01.rtf,ma-nma,1,2,739
P05,ma-nma.01.rtf,ma-nma,1,2,733
P17,ma-nma.01.rtf,ma-nma,1,2,733
P20,ma-nma.01.rtf,ma-nma,1,2,694
P29,ma-nma.01.rtf,ma-nma,1,2,581
P02,ma-nma.01.rtf,ma-nma,1,2,513
P09,ma-nma.01.rtf,ma-nma,1,2,440
P30,ma-nma.01.rtf,ma-nma,1,2,435
P31,ma-nma.01.rtf,ma-nma,1,2,430
P36,ma-nma.01.rtf,ma-nma,1,2,425
P04,ma-nma.01.rtf,ma-nma,1,2,361
P26,ma-nma.01.rtf,ma-nma,1,2,317
P25,ma-nma.01.rtf,ma-nma,1,2,140
P03,ma-nma.01.rtf,ma-nma,1,2,68
P06,ma-nma.02.rtf,ma-nma,1,2,2322
P01,ma-nma.02.rtf,ma-nma,1,2,2315
P32,ma-nma.02.rtf,ma-nma,1,2,2224
P15,ma-nma.02.rtf,ma-nma,1,2,2029
P04,ma-nma.02.rtf,ma-nma,1,2,1911
P24,ma-nma.02.rtf,ma-nma,1,2,1887
P23,ma-nma.02.rtf,ma-nma,1,2,1877
P14,ma-nma.02.rtf,ma-nma,1,2,1785
P28,ma-nma.02.rtf,ma-nma,1,2,1575
P12,ma-nma.02.rtf,ma-nma,1,2,1520
P21,ma-nma.02.rtf,ma-nma,1,2,1432
P07,ma-nma.02.rtf,ma-nma,1,2,1281
P13,ma-nma.02.rtf,ma-nma,1,2,1144
P27,ma-nma.02.rtf,ma-nma,1,2,1130
P11,ma-nma.02.rtf,ma-nma,1,2,1124
P33,ma-nma.02.rtf,ma-nma,1,2,1061
P31,ma-nma.02.rtf,ma-nma,1,2,958
P19,ma-nma.02.rtf,ma-nma,1,2,933
P22,ma-nma.02.rtf,ma-nma,1,2,931
P16,ma-nma.02.rtf,ma-nma,1,2,909
P08,ma-nma.02.rtf,ma-nma,1,2,860
P34,ma-nma.02.rtf,ma-nma,1,2,753
P20,ma-nma.02.rtf,ma-nma,1,2,729
P17,ma-nma.02.rtf,ma-nma,1,2,718
P02,ma-nma.02.rtf,ma-nma,1,2,581
P10,ma-nma.02.rtf,ma-nma,1,2,576
P36,ma-nma.02.rtf,ma-nma,1,2,557
P18,ma-nma.02.rtf,ma-nma,1,2,542
P30,ma-nma.02.rtf,ma-nma,1,2,459
P05,ma-nma.02.rtf,ma-nma,1,2,454
P09,ma-nma.02.rtf,ma-nma,1,2,444
P37,ma-nma.02.rtf,ma-nma,1,2,391
P03,ma-nma.02.rtf,ma-nma,1,2,381
P26,ma-nma.02.rtf,ma-nma,1,2,271
P25,ma-nma.02.rtf,ma-nma,1,2,251
P35,ma-nma.02.rtf,ma-nma,1,2,249
P29,ma-nma.02.rtf,ma-nma,1,2,229
P25,ma-nma.03.rtf,ma-nma,1,2,2441
P01,ma-nma.03.rtf,ma-nma,1,2,2098
P08,ma-nma.03.rtf,ma-nma,1,2,1985
P06,ma-nma.03.rtf,ma-nma,1,2,1882
P14,ma-nma.03.rtf,ma-nma,1,2,1711
P11,ma-nma.03.rtf,ma-nma,1,2,1677
P32,ma-nma.03.rtf,ma-nma,1,2,1628
P28,ma-nma.03.rtf,ma-nma,1,2,1291
P30,ma-nma.03.rtf,ma-nma,1,2,1159
P18,ma-nma.03.rtf,ma-nma,1,2,1119
